Iteration,LatencyLevel,MemCache,MiraCache,Difference(%)
1,low,88.5053,22095.7,24865.4
2,low,88.1098,19709.7,22269.5
3,low,89.3043,21080.6,23505.3
4,low,88.0459,15888.2,17945.4
5,low,87.5978,13594.2,15418.9
1,medium,88.1631,7599.39,8519.7
2,medium,85.864,13700.7,15856.3
3,medium,86.6417,14563.3,16708.7
4,medium,89.5372,25744.8,28653.1
5,medium,85.9258,16979.9,19661.1
1,high,87.3272,25034.8,28567.9
2,high,88.8603,16447.7,18409.7
3,high,87.5117,31658.6,36076.5
4,high,86.7158,21619.9,24832
5,high,91.0888,12540.8,13667.7
